cat1_name,cat2_name,goods_name,skc_id,sale_price,origin_price,href,style,material,length,stereotype,img_src
T恤/衬衫,短袖T恤,线条刺绣宽松短袖T恤,3GI3025070000,￥299,￥599,/p/3GI3025070000.shtml,利用立体刺绣，勾勒动感几何线条，让这件衣服充满巧思和看点，别具现代建筑美感；宽松轮廓剪裁，结合中长款长度，简洁流畅线条洋溢轻松潮流气息；甄选优质罗马布打造，柔软细腻，穿着舒适亲肤；与同系列百慕大短裤混搭，时髦造型格外吸睛显个性；加入潮流老爹鞋，范儿瞬间提升,面料:粘纤63% 锦纶32.3% 氨纶4.7%(绣花线除外)罗纹:聚酯纤维96.2% 氨纶3.8%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025070000/3GI3025070000_m_1.jpg
T恤/衬衫,短袖T恤,字母天使翅膀短袖T恤,3GC3022630000,￥199,￥399,/p/3GC3022630000.shtml,一件拥有别致图案的T恤，可轻松助你在人群中脱颖而出，值得推荐；天使之翼和Slogan“Super Great”装点前幅，个性又显时髦；合体圆领恤衫，基础廓形设计，毫无累赘，尤显百搭实穿；精选优质面料，穿着舒适自在；出挑图案单品，与各式下装混搭皆可，内外穿皆适宜；与束脚九分裤、运动鞋搭配，构筑活力潮帅LOOK，减龄效果显著,面料:粘纤63% 锦纶32.3% 氨纶4.7%罗纹:聚酯纤维95.4% 氨纶4.6%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3022630000/3GC3022630000_m_1.jpg
T恤/衬衫,短袖T恤,字母印花撞色短袖t恤,3GC3022640090,￥199,￥399,/p/3GC3022640090.shtml,手写体大字母占据前幅，带出轻松随性味道，奠定休闲摩登基调；基础圆领套头廓形，线条设计毫无累赘，定格经典百搭；精选天丝面料打造，手感柔软有弹性，贴身穿着舒适自在；字母恤衫，不管单穿还是内搭皆出彩，为衣橱常备单品；配以百慕大短裤或束脚九分裤，加入运动鞋及斜挎小包，通身活力时尚造型，倍显帅气吸睛,面料:粘纤63.0% 锦纶32.3% 氨纶4.7%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3022640090/3GC3022640090_m_1.jpg
T恤/衬衫,短袖T恤,字母印花撞色短袖t恤,3GC3022640120,￥199,￥399,/p/3GC3022640120.shtml,手写体大字母占据前幅，带出轻松随性味道，奠定休闲摩登基调；基础圆领套头廓形，线条设计毫无累赘，定格经典百搭；精选天丝面料打造，手感柔软有弹性，贴身穿着舒适自在；字母恤衫，不管单穿还是内搭皆出彩，为衣橱常备单品；配以百慕大短裤或束脚九分裤，加入运动鞋及斜挎小包，通身活力时尚造型，倍显帅气吸睛,面料:粘纤63.0% 锦纶32.3% 氨纶4.7%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3022640120/3GC3022640120_m_1.jpg
T恤/衬衫,短袖T恤,字母人像宽松短袖T恤,3GC3021200000,￥299,￥599,/p/3GC3021200000.shtml,“SUBCULTURE”和怪诞人像画作，轻松把设计风格定型，亚文化风格区别于主流文化，更能体现个人主张，契合TRE Boys年轻时尚追求；亮色拼接构筑几何图案，从前幅延伸至后幅，将衣衫装点格外摩登有型，个性加分；宽松轮廓剪裁，简洁流畅线条洋溢轻松潮流气息；主面料为纯棉，手感柔软，贴身穿着舒适透气亲肤；与休闲九分裤撞色混搭，加入运动鞋和渔夫帽，一身High-Street造型，回头率飙升,面料:棉100%撞料:聚酯纤维100%罗纹:锦纶100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3021200000/3GC3021200000_m_1.jpg
T恤/衬衫,短袖T恤,字母人像宽松短袖T恤,3GC3021200090,￥299,￥599,/p/3GC3021200090.shtml,“SUBCULTURE”和怪诞人像画作，轻松把设计风格定型，亚文化风格区别于主流文化，更能体现个人主张，契合TRE Boys年轻时尚追求；亮色拼接构筑几何图案，从前幅延伸至后幅，将衣衫装点格外摩登有型，个性加分；宽松轮廓剪裁，简洁流畅线条洋溢轻松潮流气息；主面料为纯棉，手感柔软，贴身穿着舒适透气亲肤；与休闲九分裤撞色混搭，加入运动鞋和渔夫帽，一身High-Street造型，回头率飙升,面料:棉100%撞料:聚酯纤维100%罗纹:锦纶100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3021200090/3GC3021200090_m_1.jpg
T恤/衬衫,短袖T恤,纯棉拼接宽松短袖T恤,3GC3021230000,￥249,￥499,/p/3GC3021230000.shtml,本款一大特色在于解构主义的运用，以同材质同颜色解构重组构筑廓形，低调却不乏现代摩登气息；玩味廓形艺术，落肩oversize轮廓设计，结合中长款长度，带来轻松时髦气息，范儿升级；纯棉面料打造，柔韧有自然光泽感，穿着舒适亲肤；百搭又时尚，与各式裤装皆可轻松混搭，值得入手；配以百慕大短裤、运动鞋、斜挎小包，瞬间营造青春的动感活力,面料:棉100%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3021230000/3GC3021230000_m_1.jpg
T恤/衬衫,短袖T恤,人像宽松纯棉短袖T恤,3GC3021440000,￥249,￥499,/p/3GC3021440000.shtml,生动人物肖像画于橘黄底色上成型，使简约廓形瞬间充满艺术气息，格外抢镜；宽松落肩款式，迎合休闲基调，释放轻松随性之感；精选纯棉面料打造，穿着舒适亲肤；出彩图案恤衫，不管单穿还是内搭一样时尚有型；简单配以九分裤、运动鞋、斜挎包，活力帅气，减龄加分,面料:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3021440000/3GC3021440000_m_1.jpg
T恤/衬衫,短袖T恤,字母宽松纯棉短袖t恤,3GC3021460090,￥249,￥499,/p/3GC3021460090.shtml,前幅有趣字母印花，如同3D迷幻效果，让原本以简约著称的字母也变得不一般起来，更显个性新鲜；衣衫明线车缝，使得衣衫廓形更加立体，更添摩登新意；精选纯棉面料打造，穿着舒适亲肤；字母Tee，能与衣橱各式裤装混搭，不仅可单穿，内搭一样出彩，值得推荐；简单配以九分裤、运动鞋，一身活力造型，帅气减龄,面料:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3021460090/3GC3021460090_m_1.jpg
T恤/衬衫,短袖T恤,字母宽松纯棉短袖t恤,3GC3021460400,￥249,￥499,/p/3GC3021460400.shtml,前幅有趣字母印花，如同3D迷幻效果，让原本以简约著称的字母也变得不一般起来，更显个性新鲜；衣衫明线车缝，使得衣衫廓形更加立体，更添摩登新意；宽松落肩款式，迎合休闲基调，释放轻松随性之感；精选纯棉面料打造，穿着舒适亲肤；字母Tee，能与衣橱各式裤装混搭，不仅可单穿，内搭一样出彩，值得推荐；简单配以九分裤、运动鞋，一身活力造型，帅气减龄,面料:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3021460400/3GC3021460400_m_1.jpg
T恤/衬衫,短袖T恤,印花宽松棉质短袖T恤,3GI3025010130,￥249,￥499,/p/3GI3025010130.shtml,前幅雪纺绉纱拼接，轻盈飘逸，丰富衣衫层次感；格纹×花卉，让本季印花混搭出新鲜趣味，瞬间占据视线；略显Oversize廓形，结合落肩设计，注入轻松休闲味道，范儿升级；充满亮点单品，与简约风下装相当速配；混搭牛仔九分裤、运动鞋，简单搭配即可穿出时髦的姿态,面料:棉100%撞料:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025010130/3GI3025010130_m_1.jpg
T恤/衬衫,短袖T恤,线条刺绣宽松短袖T恤,3GI3025070090,￥299,￥599,/p/3GI3025070090.shtml,利用立体刺绣，勾勒动感几何线条，让这件衣服充满巧思和看点，别具现代建筑美感；宽松轮廓剪裁，结合中长款长度，简洁流畅线条洋溢轻松潮流气息；甄选优质罗马布打造，柔软细腻，穿着舒适亲肤；与同系列百慕大短裤混搭，时髦造型格外吸睛显个性；加入潮流老爹鞋，范儿瞬间提升,面料:粘纤63% 锦纶32.3% 氨纶4.7%(绣花线除外)罗纹:聚酯纤维96.2% 氨纶3.8%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025070090/3GI3025070090_m_1.jpg
T恤/衬衫,短袖T恤,棉质宽松印花短袖T恤,3GC3020060000,￥199,￥399,/p/3GC3020060000.shtml,两种风格不同的人像半脸破格重组，以素描和写实美式漫画刻画出深邃轮廓，配以黑白色渲染出淡淡神秘怪诞气氛，个性吸睛；圆领短袖轮廓，配合宽松版型设计，呼应休闲随性基调；精选面料打造，含丰富棉成分，柔软细致，穿着舒适亲肤透气；时髦休闲单品，与百慕大短裤或各式长款搭配皆可，再配入低帮鞋，演绎阳光帅气造型,面料:棉83.3% 聚酯纤维16.7%罗纹:聚酯纤维96.8% 氨纶3.2%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3020060000/3GC3020060000_m_1.jpg
T恤/衬衫,短袖T恤,棉质宽松印花短袖T恤,3GC3020060090,￥199,￥399,/p/3GC3020060090.shtml,两种风格不同的人像半脸破格重组，以素描和写实美式漫画刻画出深邃轮廓，配以黑白色渲染出淡淡神秘怪诞气氛，个性吸睛；圆领短袖轮廓，配合宽松版型设计，呼应休闲随性基调；精选面料打造，含丰富棉成分，柔软细致，穿着舒适亲肤透气；时髦休闲单品，与百慕大短裤或各式长款搭配皆可，再配入低帮鞋，演绎阳光帅气造型,面料:棉83.3% 聚酯纤维16.7%罗纹:聚酯纤维96.8% 氨纶3.2%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3020060090/3GC3020060090_m_1.jpg
T恤/衬衫,短袖T恤,刺绣纯棉宽松短袖T恤,3GC3023910000,￥249,￥499,/p/3GC3023910000.shtml,精致刺绣工艺Mix数码印花，勾画撞色英文Slogan图案，分别饰于领子与后幅，瞬间注入率性街头气息，焕发青春活力；圆领短袖轮廓，配合宽松版型设计，呼应轻松随性基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲单品，下装配入运动风短裤或各式休闲长裤，加入低帮鞋，打造阳光爽朗造型,面料:棉100%里布:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3023910000/3GC3023910000_m_1.jpg
T恤/衬衫,短袖T恤,刺绣纯棉宽松短袖T恤,3GC3023910090,￥249,￥499,/p/3GC3023910090.shtml,精致刺绣工艺Mix数码印花，勾画撞色英文Slogan图案，分别饰于领子与后幅，瞬间注入率性街头气息，焕发青春活力；圆领短袖轮廓，配合宽松版型设计，呼应轻松随性基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲单品，下装配入运动风短裤或各式休闲长裤，加入低帮鞋，打造阳光爽朗造型,面料:棉100%里布:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3023910090/3GC3023910090_m_1.jpg
T恤/衬衫,短袖T恤,棉质宽松印花圆领T恤,3GC3025810090,￥249,￥499,/p/3GC3025810090.shtml,模仿粉笔黑白涂鸦风格，Colourful字母印花以贴布绣形式不对称饰于前幅，个性中展现年轻活力气息；圆领短袖轮廓，配合宽松版型设计，呼应休闲随性基调；甄选棉质面料打造，亲肤柔软透气，穿着舒适自在；时髦休闲单品，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉96.0% 氨纶4.0%印花贴布:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3025810090/3GC3025810090_m_1.jpg
T恤/衬衫,短袖T恤,纯棉刺绣圆领短袖T恤,3GC3026400000,￥249,￥499,/p/3GC3026400000.shtml,运用精巧细致的刺绣工艺，勾画乖张眼睛图案，透着宗教神秘色彩，搭配英文Slogan印花与花蛇图案，亮点出挑个性吸睛；圆领短袖轮廓，线条处理利落称身，呼应休闲基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%里布:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026400000/3GC3026400000_m_1.jpg
T恤/衬衫,短袖T恤,纯棉刺绣字母虎头T恤,3GC3026420600,￥249,￥499,/p/3GC3026420600.shtml,拥有凹凸立体感的英文Slogan，以Colourful撞色配合刺绣工艺呈现，瞬间虏获视线；运用精巧细致的刺绣工艺，勾画威风凌凌虎头图案，于胸前成为点睛亮点，个性出挑；圆领短袖轮廓，线条处理利落称身，呼应休闲基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%(绣花线除外)前幅网里:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026420600/3GC3026420600_m_1.jpg
T恤/衬衫,短袖T恤,纯棉纯色中长宽松T恤,3GC3023940090,￥249,￥499,/p/3GC3023940090.shtml,静默淡然的纯色衣身，传递出宁静质朴的现代生活审美，勾勒雅致素净质感；前幅大口袋装饰，以同色构筑更能突出设计感，个性低调；中长款长度剪裁，配合流畅线条宽松版型，构筑悠闲舒适廓形；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入各式运动休闲风长裤，加入低帮鞋，打造闲适Daily风,面料:棉100%撞料:锦纶100%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3023940090/3GC3023940090_m_1.jpg
T恤/衬衫,短袖T恤,拼接中长宽松短袖T恤,3GI3025630090,￥299,￥599,/p/3GI3025630090.shtml,双层拼接手法，将个性印花图案半隐于网布之下，丰富图案层次，更添摩登新魅；玩味廓形艺术，落肩oversize轮廓设计，带来轻松时髦气息，潮流感升级；中长衣长设计，提升休闲率性味道，更具时尚型格；与深色百慕大短裤、中筒袜、运动鞋混搭，活力造型尽显青春帅气,面料1:聚酯纤维100%面料2:聚酯纤维93.5% 氨纶6.5%罗纹:聚酯纤维89.8% 棉5.9% 氨纶4.3%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025630090/3GI3025630090_m_1.jpg
T恤/衬衫,短袖T恤,纯棉刺绣圆领短袖T恤,3GC3026400181,￥249,￥499,/p/3GC3026400181.shtml,运用精巧细致的刺绣工艺，勾画乖张眼睛图案，透着宗教神秘色彩，搭配英文Slogan印花与花蛇图案，亮点出挑个性吸睛；圆领短袖轮廓，线条处理利落称身，呼应休闲基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%里布:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026400181/3GC3026400181_m_1.jpg
T恤/衬衫,短袖T恤,纯棉刺绣字母虎头T恤,3GC3026420000,￥249,￥499,/p/3GC3026420000.shtml,拥有凹凸立体感的英文Slogan，以Colourful撞色配合刺绣工艺呈现，瞬间虏获视线；运用精巧细致的刺绣工艺，勾画威风凌凌虎头图案，于胸前成为点睛亮点，个性出挑；圆领短袖轮廓，线条处理利落称身，呼应休闲基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%(绣花线除外)前幅网里:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026420000/3GC3026420000_m_1.jpg
T恤/衬衫,短袖T恤,纯棉刺绣字母虎头T恤,3GC3026420090,￥249,￥499,/p/3GC3026420090.shtml,拥有凹凸立体感的英文Slogan，以Colourful撞色配合刺绣工艺呈现，瞬间虏获视线；运用精巧细致的刺绣工艺，勾画威风凌凌虎头图案，于胸前成为点睛亮点，个性出挑；圆领短袖轮廓，线条处理利落称身，呼应休闲基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%(绣花线除外)前幅网里:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026420090/3GC3026420090_m_1.jpg
T恤/衬衫,短袖T恤,条纹字母LOGO拼接T恤,3GC3020860090,￥249,￥499,/p/3GC3020860090.shtml,Logo印花一贯于时尚界大行其道，秉承其耐看长青的性质，深受时尚设计者钟爱；运用间色条纹织带和网布组合拼接于双袖，为衣身制造丰富视觉层次，同时注入摩登运动气息；短袖圆领轮廓，线条处理利落称身，呼应休闲基调；精选面料打造，柔韧细致，穿着舒适；时髦休闲单品，下装配入百慕大短裤或哈伦裤，加入低帮鞋，演绎率性街头范儿,面料:聚酯纤维100%撞布:聚酯纤维100%织带:聚酯纤维100%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3020860090/3GC3020860090_m_1.jpg
T恤/衬衫,短袖T恤,刺绣纯棉宽松短袖T恤,3GC3023910500,￥249,￥499,/p/3GC3023910500.shtml,精致刺绣工艺Mix数码印花，勾画撞色英文Slogan图案，分别饰于领子与后幅，瞬间注入率性街头气息，焕发青春活力；圆领短袖轮廓，配合宽松版型设计，呼应轻松随性基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲单品，下装配入运动风短裤或各式休闲长裤，加入低帮鞋，打造阳光爽朗造型,面料:棉100%里布:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3023910500/3GC3023910500_m_1.jpg
T恤/衬衫,短袖T恤,棉质宽松印花圆领T恤,3GC3025810000,￥249,￥499,/p/3GC3025810000.shtml,模仿粉笔黑白涂鸦风格，Colourful字母印花以贴布绣形式不对称饰于前幅，个性中展现年轻活力气息；圆领短袖轮廓，配合宽松版型设计，呼应休闲随性基调；甄选棉质面料打造，亲肤柔软透气，穿着舒适自在；时髦休闲单品，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉96.0% 氨纶4.0%印花贴布:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3025810000/3GC3025810000_m_1.jpg
T恤/衬衫,短袖T恤,纯棉纯色中长宽松T恤,3GC3025880000,￥199,￥399,/p/3GC3025880000.shtml,静默淡然的纯色衣身，传递出宁静质朴的现代生活审美，勾勒雅致素净质感；双肩同色贴布绣装饰，赋予衣服更多时尚看点，低调中展现个性；中长款长度剪裁，配合流畅线条宽松版型，构筑悠闲舒适廓形；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%撞料:锦纶100%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3025880000/3GC3025880000_m_1.jpg
T恤/衬衫,短袖T恤,纯棉纯色中长宽松T恤,3GC3025880090,￥199,￥399,/p/3GC3025880090.shtml,静默淡然的纯色衣身，传递出宁静质朴的现代生活审美，勾勒雅致素净质感；双肩同色贴布绣装饰，赋予衣服更多时尚看点，低调中展现个性；中长款长度剪裁，配合流畅线条宽松版型，构筑悠闲舒适廓形；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%撞料:锦纶100%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3025880090/3GC3025880090_m_1.jpg
T恤/衬衫,短袖T恤,纯棉刺绣圆领短袖T恤,3GC3026400090,￥249,￥499,/p/3GC3026400090.shtml,运用精巧细致的刺绣工艺，勾画乖张眼睛图案，透着宗教神秘色彩，搭配英文Slogan印花与花蛇图案，亮点出挑个性吸睛；圆领短袖轮廓，线条处理利落称身，呼应休闲基调；甄选亲肤质感纯棉面料，柔软透气吸汗，穿着舒适自在；时髦休闲款式，下装配入短裤或束脚哈伦裤，加入低帮鞋，轻松打造阳光帅气潮男形象,面料:棉100%里布:聚酯纤维100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GC3026400090/3GC3026400090_m_1.jpg
T恤/衬衫,短袖T恤,短袖圆领t恤宽松撞色,3GI3025610510,￥349,￥699,/p/3GI3025610510.shtml,大片亮色渐变晕染色块，带来醒目新鲜视觉效果，洋溢摩登波普风艺术气息；玩味廓形艺术，落肩oversize轮廓设计，带来轻松时髦气息，潮流感升级；甄选优质面料打造，柔软顺滑，贴身穿着舒适自在；本身足够抢眼，与简约风下装简单搭配即可时尚出挑，潮人不容错过；与束脚九分裤、运动鞋、斜挎小包混搭，刻画潮帅前卫印象,面料:聚酯纤维90.6% 氨纶9.4%罗纹:聚酯纤维95.1% 氨纶4.9%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025610510/3GI3025610510_m_1.jpg
T恤/衬衫,短袖T恤,短袖圆领t恤宽松撞色,3GI3025610600,￥349,￥699,/p/3GI3025610600.shtml,大片亮色渐变晕染色块，带来醒目新鲜视觉效果，洋溢摩登波普风艺术气息；玩味廓形艺术，落肩oversize轮廓设计，带来轻松时髦气息，潮流感升级；甄选优质面料打造，柔软顺滑，贴身穿着舒适自在；本身足够抢眼，与简约风下装简单搭配即可时尚出挑，潮人不容错过；与束脚九分裤、运动鞋、斜挎小包混搭，刻画潮帅前卫印象,面料:聚酯纤维90.6% 氨纶9.4%罗纹:聚酯纤维95.1% 氨纶4.9%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GI3025610600/3GI3025610600_m_1.jpg
